"시점","항목",정보통신방송기기업,정보통신방송기기업,정보통신방송기기업,정보통신방송기기업,정보통신방송기기업,정보통신방송기기업,정보통신방송서비스업,정보통신방송서비스업,정보통신방송서비스업,정보통신방송서비스업,소프트웨어 개발 및 제작업,소프트웨어 개발 및 제작업,소프트웨어 개발 및 제작업,소프트웨어 개발 및 제작업
"시점","항목",소계,전자부품업,컴퓨터 및 주변기기업,통신 및 방송기기업,영상 및 음향기기업,정보통신응용기반기기업,소계,통신서비스업,방송서비스업,정보서비스업,소계,패키지 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,IT 서비스 제공업
"2011","총 종사자 (명)",578111,307263,14684,78590,31687,145887,123008,50172,38189,34647,222217,114832,29401,77984
"2012","총 종사자 (명)",594173,320458,9875,78746,31670,153424,123425,45346,40031,38048,235435,119178,32992,83265
"2013","총 종사자 (명)",598495,334415,9934,77088,20812,156246,121721,43639,40990,37092,255607,128497,35023,92087
"2014","총 종사자 (명)",599986,332485,10710,73540,18414,164837,115715,37684,41252,36779,276102,133848,37016,105238
"2015","총 종사자 (명)",595960,331493,9222,64647,20993,169605,123240,41022,42239,39979,296011,141461,37629,116921
"2016","총 종사자 (명)",590191,321826,9178,60367,19554,179266,124952,39227,43783,41942,296297,146604,37070,112623
"2017","총 종사자 (명)",590700,323185,9029,58669,18106,181711,128617,41560,44252,42805,304081,150894,39239,113948
"2018","총 종사자 (명)",586022,319256,8976,53788,16947,187055,131981,41455,44154,46372,321484,158938,40590,121956
"2019 p)","총 종사자 (명)",582260,318265,8846,52963,14320,187866,133882,42698,44260,46924,326908,169216,43536,114156
