"시점",정보통신방송기기,정보통신방송기기,정보통신방송기기,정보통신방송기기,정보통신방송기기,정보통신방송기기,정보통신방송서비스,정보통신방송서비스,정보통신방송서비스,정보통신방송서비스,소프트웨어,소프트웨어,소프트웨어,소프트웨어
"시점",소계,전자부품,컴퓨터 및 주변기기,통신 및 방송기기,영상 및 음향기기,정보통신응용기반기기,소계,통신서비스,방송서비스,정보서비스,소계,패키지소프트웨어,게임소프트웨어,IT서비스
"2011. 01",25892154,14209744,928822,5659905,1053503,4040180,4949231,3099144,914244,935843,2570838,290417,548266,1732155
"2011. 02",23915580,13092654,852754,5268915,999123,3702134,4818592,2995482,895746,927364,2656909,302020,548267,1806622
"2011. 03",26956611,15186249,906419,5390575,1143390,4329978,5025581,3109823,977675,938083,2994587,339761,548268,2106558
"2011. 04",27342026,14999757,842800,5930377,1157058,4412034,4979338,3025879,1003407,950052,2799236,316373,590544,1892319
"2011. 05",27562732,15060712,818696,6136936,1126126,4420262,5189559,3145439,1070835,973285,2973584,303544,590546,2079494
"2011. 06",27337680,14941501,833206,5754325,1209963,4598685,5181419,3122931,1073707,984781,3127596,331080,590546,2205970
"2011. 07",25932997,14116738,889703,5214804,1273407,4438345,5193688,3101928,1094249,997511,2894535,331057,586711,1976767
"2011. 08",25596014,14122662,912255,4938138,1268217,4354742,5119701,3071465,1054111,994125,2880686,317947,586712,1976027
"2011. 09",26837809,14843225,933323,5183394,1209777,4668090,5204818,3068141,1128658,1008019,3128793,330918,586712,2211163
"2011. 10",26100719,14442645,893020,5000661,1141957,4622436,5196491,3059577,1112136,1024778,2941418,314913,611843,2014662
"2011. 11",25897805,13988550,894210,5167065,1101916,4746064,5244184,3082793,1120686,1040705,3246175,343272,611844,2291059
"2011. 12",24845826,14080614,878973,4437972,964288,4483979,5328362,3116362,1153934,1058066,4320641,475175,611844,3233622
"2012. 01",24861825,14697167,875426,4277493,953862,4057877,5069324,2993885,1038588,1036851,2857940,315548,714113,1828279
"2012. 02",23802033,13576585,1018776,4058206,939468,4208998,5064626,2989656,1038576,1036394,2891839,328950,714113,1848776
"2012. 03",26236762,15565221,943367,4319951,956526,4451697,5200941,3065675,1081439,1053827,3120596,381835,714114,2024647
"2012. 04",26124341,15529713,945825,4263083,968446,4417274,5202269,3010683,1121030,1070556,3007442,343829,653579,2010034
"2012. 05",26568913,15643437,926418,4423721,1037260,4538077,5362370,3084298,1195395,1082677,3125148,337468,653579,2134101
"2012. 06",26813292,15590356,996844,4458948,1015043,4752101,5307096,3036158,1187330,1083608,3449118,388481,653580,2407057
"2012. 07",25624716,14770495,897214,4068396,1106935,4781676,5361373,3089206,1196373,1075794,3156640,367628,623505,2165507
"2012. 08",25484302,14814115,860781,4054473,1155746,4599187,5332325,3069930,1185471,1076924,3061327,347352,623506,2090469
"2012. 09",27973204,15511147,860267,5585403,1217647,4798740,5374463,3064067,1229788,1080608,3278921,373112,623506,2282303
"2012. 10",27645943,15142287,702572,5752617,1185247,4863220,5367058,3081589,1201999,1083470,3092852,350161,639736,2102955
"2012. 11",27483004,14802933,581251,6015057,1107237,4976526,5454656,3097695,1256136,1100825,3230059,369943,639737,2220379
